ID,slug,TRACE-correct,TRACE-plausible,D4C-correct,D4C-plausible,ThinkRepair-correct,NTR-correct
0,Chart_1,True,True,True,True,True,True
3,Chart_3,,,,,,
6,Chart_5,True,True,,True,,
7,Chart_6,,,True,True,,
8,Chart_9,True,True,True,True,True,True
9,Chart_11,True,True,True,True,True,True
10,Chart_13,True,True,,True,True,
15,Chart_15,,,,,,True
16,Chart_16,,,,,,True
26,Chart_24,True,True,True,True,True,True
33,Math_3,True,True,,,True,True
36,Math_5,True,True,True,True,True,True
50,Math_10,,True,True,True,,True
51,Math_11,True,True,True,True,True,True
52,Math_15,,,,,,
58,Math_19,,,,,,
64,Math_25,,,True,True,,
71,Math_30,True,True,True,True,True,True
75,Math_32,,True,True,True,,
76,Math_33,,,,,,True
81,Math_39,True,True,,,,True
82,Math_40,,,,,,
83,Math_41,True,True,True,True,True,True
84,Math_42,,,,,,
85,Math_43,,,,,,
93,Math_48,,,,,,
98,Math_50,,,,,True,
99,Math_51,,,,,,
100,Math_53,True,True,,,,True
101,Math_54,,,,,,
104,Math_56,True,True,,,True,True
105,Math_57,True,True,True,True,True,True
106,Math_58,,True,,True,,True
107,Math_60,True,True,True,True,True,
120,Math_65,True,True,True,True,,
128,Math_69,True,True,,,True,True
129,Math_70,True,True,,,True,True
134,Math_73,True,True,True,True,,
135,Math_74,,,,,,
138,Math_77,,,,,,True
141,Math_80,True,True,True,True,True,True
145,Math_82,True,True,True,True,True,
150,Math_85,True,True,True,True,True,True
151,Math_87,True,True,True,True,,
152,Math_88,,,,,,
157,Math_96,True,True,,,,True
158,Math_97,,True,True,True,,
165,Math_101,True,True,True,True,True,True
166,Math_102,True,True,True,True,,
167,Lang_1,,,,,,
168,Lang_3,,True,True,True,,
169,Lang_4,True,True,,,,
172,Lang_6,,True,True,True,,
175,Lang_9,,True,True,True,,True
176,Lang_11,True,True,,True,True,True
177,Lang_12,,True,True,True,,
178,Lang_13,True,True,True,True,,
179,Lang_14,True,True,True,True,True,
182,Lang_16,True,True,True,True,True,True
183,Lang_17,True,True,True,True,True,
184,Lang_18,True,True,True,True,,True
190,Lang_21,True,True,True,True,True,True
191,Lang_22,,True,True,True,,
192,Lang_24,True,True,True,True,True,True
195,Lang_28,True,True,,,True,True
201,Lang_31,,True,True,True,,
205,Lang_33,True,True,True,True,True,True
212,Lang_37,True,True,,,,
213,Lang_38,True,True,,,,True
214,Lang_39,True,True,True,True,,True
215,Lang_40,True,True,,,True,True
218,Lang_42,True,True,True,True,True,
219,Lang_43,True,True,True,True,True,True
220,Lang_44,True,True,,True,,
221,Lang_45,True,True,True,True,True,True
222,Lang_46,,,,,,
225,Lang_48,True,True,,,,
228,Lang_51,True,True,True,True,True,True
229,Lang_52,True,True,True,True,True,True
230,Lang_53,,True,,,,
231,Lang_54,True,True,True,True,,True
232,Lang_55,True,True,True,True,True,
233,Lang_58,True,True,True,True,True,
234,Lang_59,True,True,True,True,True,
237,Lang_61,True,True,True,True,True,True
242,Cli_2,,,,,,
243,Cli_3,,True,True,True,,
